,Rubrik,Länk
0,Ted & Kaj: Din mamma var en sköldpadda,https://arenan.yle.fi/1-50576822
1,Senaste nytt om coronaviruset,https://svenska.yle.fi/coronavirus
2,"Jobb som bärplockare är ökänt för dåliga arbetsförhållanden men så ska det inte vara: ""Det är viktigt att alla behandlas lika oavsett varifrån de kommer""",https://svenska.yle.fi/artikel/2020/07/01/jobb-som-barplockare-ar-okant-for-daliga-arbetsforhallanden-men-sa-ska-det-inte
3,Preliminära uppgifter: Förlängt Putinstyre i sikte,https://svenska.yle.fi/artikel/2020/07/01/forlangt-putinstyre-i-sikte-enligt-preliminara-uppgifter
4,Kommentar: Så länge ryssarna sväljer maktfullkomlighet och valfusk sitter Putin stadigt kvar,https://svenska.yle.fi/artikel/2020/07/01/kommentar-sa-lange-ryssarna-svaljer-maktfullkomlighet-och-valfusk-sitter-putin
5,Att vara kvinna och jägare är att våga ta plats och bevisa sin duglighet,https://svenska.yle.fi/artikel/2020/07/01/att-vara-kvinna-och-jagare-ar-att-vaga-ta-plats-och-bevisa-sin-duglighet
6,"Trumps säkerhetsrådgivare: Uppgifter om ryska skottpengar så ""vaga"" att presidenten inte informerades",https://svenska.yle.fi/artikel/2020/07/01/trumps-sakerhetsradgivare-uppgifter-om-ryska-skottpengar-sa-vaga-att-presidenten
7,Tusentals Hongkongbor ute på gatorna i protest mot ny inskränkande lag - polisen grep människor med hänvisning till lagen,https://svenska.yle.fi/artikel/2020/07/01/tusentals-hongkongbor-ute-pa-gatorna-i-protest-mot-ny-inskrankande-lag-polisen
8,"Coronarestriktionerna sätter sin prägel på sommarens evenemang, folksamlingar på över 500 personer tillåtna utomhus igen – läs det senaste om coronaviruset här",https://svenska.yle.fi/coronavirus
9,Kanoncomeback av Rasmus Schüller i HJK – visade vägen för stora guldfavoriten i premiären,https://svenska.yle.fi/artikel/2020/07/01/kanoncomeback-av-rasmus-schuller-i-hjk-visade-vagen-for-stora-guldfavoriten-i
10,Mystisk massdöd bland elefanter i Botswana - ny sjukdom eller gift?,https://svenska.yle.fi/artikel/2020/07/01/mystisk-massdod-bland-elefanter-i-botswana-ny-sjukdom-eller-gift
11,Nu kan du njuta av mat och dryck på Senatstorget i Helsingfors – specialnät håller måsarna borta,https://arenan.yle.fi/1-50579362
12,Talvivaaraledare friades - inget insiderbrott när teckningsrätter såldes,https://svenska.yle.fi/artikel/2020/07/01/talvivaaraledare-friades-inget-insiderbrott-nar-teckningsratter-saldes
13,"Förundersökningen om bröderna som sköt mot polis i Borgå är nästan klar - vad som hände är klarlagt, men motivet saknas",https://svenska.yle.fi/artikel/2020/07/01/forundersokningen-om-broderna-som-skot-mot-polis-i-borga-ar-nastan-klar-vad-som
14,"Israels annektering av Västbanken skjuts fram: ""Israel och USA spelar ett högt spel""",https://svenska.yle.fi/artikel/2020/07/01/israels-annektering-av-vastbanken-skjuts-fram-israel-och-usa-spelar-ett-hogt-spel
15,"KuPS satte punkt för HIFK:s premiärhopp på en kvart – se målen som får Tor Thodesen att bli kritisk: ""Förvånad att vi är så bleka""",https://svenska.yle.fi/artikel/2020/07/01/kups-satte-punkt-for-hifks-premiarhopp-pa-en-kvart-se-malen-som-far-tor-thodesen
16,Knivman sprang längs gatorna i Vasa – släppte vapnet först efter gripandet,https://svenska.yle.fi/artikel/2020/07/01/knivman-sprang-langs-gatorna-i-vasa-slappte-vapnet-forst-efter-gripandet
17,Knivhuggning i Billnäs - 17-årigt offer fördes till sjukhus,https://svenska.yle.fi/artikel/2020/07/01/knivhuggning-i-billnas-17-arigt-offer-fordes-till-sjukhus
18,Bästa hemknuten i Svenskfinland: Vålax i Borgå,https://svenska.yle.fi/artikel/2020/07/01/basta-hemknuten-i-svenskfinland-valax-i-borga
19,Sommartävling: Var finns bästa hemknuten i Svenskfinland?,https://svenska.yle.fi/artikel/2020/05/31/sommartavling-var-finns-basta-hemknuten-i-svenskfinland
20,Medieprofilen Peter Nyman tillbringar en stor del av sin fritid i Pojo: ”Det är bra att jag blev en kändis först vid närmare 30”,https://svenska.yle.fi/artikel/2020/07/01/sommargasten-peter-nyman-tillbringar-en-stor-del-av-sin-fritid-i-pojo-det-ar-bra
21,IFK Mariehamn hoppas ha lämnat skuggan av våldtäktsfallet bakom sig – fallet höll på att kosta laget understöd: ”Fick diskutera med en av våra huvudsponsorer”,https://svenska.yle.fi/artikel/2020/07/01/ifk-mariehamn-hoppas-ha-lamnat-skuggan-av-valdtaktsfallet-bakom-sig-fallet-holl
22,Italien beslagtog rekordmängd amfetamin - amfetaminet var producerat av terrorgruppen IS,https://svenska.yle.fi/artikel/2020/07/01/italien-beslagtog-rekordmangd-amfetamin-amfetaminet-var-producerat-av
23,Hjärnskadade Irina föreläser ibland om sina erfarenheter - i FPA:s ögon är hon arbetsför och behöver inget stöd,https://svenska.yle.fi/artikel/2020/07/01/hjarnskadade-irina-forelaser-ibland-om-sina-erfarenheter-i-fpas-ogon-ar-hon
24,Österbotten fick nio miljoner euro för att tjuvstarta social- och hälsovårdsreformen,https://svenska.yle.fi/artikel/2020/07/01/osterbotten-fick-nio-miljoner-euro-for-att-tjuvstarta-social-och
25,"Linda Cainberg avslutar handbollskarriären: ""Färre skador och lite andra val och jag kunde kanske ha blivit ännu lite bättre, men jag har sett var gränsen gått""",https://svenska.yle.fi/artikel/2020/07/01/linda-cainberg-avslutar-handbollskarriaren-ingenting-blev-ogjort-farre-skador-och
26,IT-företagaren Kaj Arnö: Hårt arbete och kloka beslut eller bondtur att vi lyckades sälja IT-firman för en miljard dollar?,https://svenska.yle.fi/artikel/2020/07/01/it-foretagaren-kaj-arno-hart-arbete-och-kloka-beslut-eller-bondtur-att-vi
27,Lyssna på Kaj Arnös sommarprat!,https://arenan.yle.fi/1-50548527
28,"USA:s Fauci: Hela landet hotas av snabb coronaspridning - ""Skulle inte vara förvånad om vi är uppe i över 100 000 fall per dag""",https://svenska.yle.fi/artikel/2020/07/01/usas-fauci-hela-landet-hotas-av-snabb-coronaspridning-skulle-inte-vara-forvanad
29,Känner du dig ensam och skulle behöva någon att prata med? Helsingforsmission erbjuder hjälp och stöd för unga hela sommaren,https://svenska.yle.fi/artikel/2020/07/01/kanner-du-dig-ensam-och-skulle-behova-nagon-att-prata-med-helsingforsmission
30,"Efter coronaepidemin behövs många bloddonatorer – men skötaren varnar: ""Donera inte om du känner dig sjuk!""",https://svenska.yle.fi/artikel/2020/07/01/efter-coronaepidemin-behovs-manga-bloddonatorer-men-skotaren-varnar-donera-inte
31,Juli välkomnas med uppluckrade coronarestriktioner: Nu får över 500 personer samlas utomhus under specialarrangemang,https://svenska.yle.fi/artikel/2020/07/01/juli-valkomnas-med-uppluckrade-coronarestriktioner-nu-far-over-500-personer
32,Senaste nytt,https://svenska.yle.fi/senaste-nytt
